ticker,name,business
MSFT,Microsoft Corporation,Microsoft Corporation
GOOG,Alphabet Inc Class C,Alphabet Inc
GOOGL,Alphabet Inc Class A,Alphabet Inc
SHLDQ,Sears Holdings Corporation,Sears Roebuck and Co.
TSLA,Tesla Inc,Tesla Inc
CCL,Carnival Corporation & Plc,Carnival Corporation & Plc
FM,First Quantum Minerals Ltd,First Quantum Minerals Ltd
AAL,American Airlines Group Inc,American Airlines Group Inc
BARC.L,Barclays PLC,Barclays PLC
GLEN.L,Glencore PLC,Glencore PLC
600519,Kweichow Moutai Co Ltd,Kweichow Moutai Co Ltd
601398,Industrial and Commercial Bank of China Limited A Ordinary ,Industrial and Commercial Bank of China Limited 
360011,Industrial and Commercial Bank of China Limited CNY Preference,Industrial and Commercial Bank of China Limited 
